
 Username: John | Time: 2 Seconds | Difficulty: Easy
 Username: Christopher | Time: 2 Seconds | Difficulty: Medium
 Username: Alex | Time: 3 Seconds | Difficulty: Hard
 Username: Guest | Time: 3 Seconds | Difficulty: Hard
 Username: Guest | Time: 2 Seconds | Difficulty: Medium
 Username: Guest | Time: 3 Seconds | Difficulty: Hard
 Username: Guest | Time: 3 Seconds | Difficulty: Medium
 Username: Guest | Time: 5 Seconds | Difficulty: Hard
 Username: Sesf | Time: 5 Seconds | Difficulty: Hard
 Username: Guest | Time: 6 Seconds | Difficulty: Hard
 Username: Guest | Time: 3 Seconds | Difficulty: Medium
 Username: Guest | Time: 2 Seconds | Difficulty: Medium
 Username: Guest | Time: 2 Seconds | Difficulty: Medium
 Username: Guest | Time: 4 Seconds | Difficulty: Hard
 Username: Guest | Time: 5 Seconds | Difficulty: Hard
 Username: Guest | Time: 3 Seconds | Difficulty: Easy
 Username: Guest | Time: 3 Seconds | Difficulty: Hard
 Username: Guest | Time: 2 Seconds | Difficulty: Easy
 Username: Guest | Time: 2 Seconds | Difficulty: Easy
 Username: Guest | Time: 2 Seconds | Difficulty: Medium
 Username: Guest | Time: 3 Seconds | Difficulty: Hard
 Username: Guest | Time: 2 Seconds | Difficulty: Easy
 Username: Guest | Time: 4 Seconds | Difficulty: Hard
